cn,name,position,playerScore,generations,total
人造光合作用,Artificial Photosynthesis,2.437837837837838,82.22702702702702,8.38018018018018,555
交易殖民地,Trading Colony,2.394213381555154,85.05605786618445,7.936708860759493,553
太阳系网络,Solarnet,2.367272727272727,86.53454545454545,8.034545454545455,550
大型小行星,Big Asteroid,2.2628676470588234,82.29779411764706,7.963235294117647,544
引入温室气体,Imported GHG,2.485294117647059,79.58639705882354,8.28125,544
房屋印刷,House Printing,2.460405156537753,82.03867403314918,8.276243093922652,543
征兵,Conscription,2.3505535055350553,85.62546125461255,7.8597785977859775,542
星际殖民飞船,Interstellar Colony Ship,2.243992606284658,87.94824399260628,8.404805914972274,541
最优的空气动力制动,Optimal Aerobraking,2.240740740740741,85.20185185185186,8.08148148148148,540
鱼,Fish,2.3358070500927646,84.59554730983302,8.380333951762523,539
CEO最喜欢的项目,CEO's Favorite Project,2.308550185873606,85.68029739776952,8.215613382899628,538
寻找生命,Search For Life,2.4888059701492535,81.17537313432835,8.263059701492537,536
工业微生物,Industrial Microbes,2.4347014925373136,80.07462686567165,8.326492537313433,536
姊妹星球支持,Sister Planet Support,2.3684210526315788,84.44736842105263,7.922932330827067,532
风力发电,Windmills,2.3691148775894537,82.86440677966101,8.256120527306967,531
营养物输入,Imported Nutrients,2.239171374764595,85.35593220338983,7.821092278719397,531
深井加热,Deep Well Heating,2.4083969465648853,80.59160305343511,8.282442748091603,524
表土塑料,Rego Plastics,2.424474187380497,83.01529636711281,8.04397705544933,523
磁场穹顶城市,Field-Capped City,2.3275862068965516,84.77777777777777,7.913793103448276,522
潮汐能源,Wave Power,2.4348659003831417,82.544061302682,8.310344827586206,522
太阳能,Solar Power,2.529750479846449,82.14203454894434,8.420345489443378,521
Bactoviral Research,Bactoviral Research,2.171153846153846,91.10576923076923,7.986538461538461,520
采矿,Mine,2.5403846153846152,80.1423076923077,8.501923076923077,520
大气束缚场,Atmoscoop,2.2084942084942085,88.04054054054055,8.044401544401545,518
金星昆虫,Venusian Insects,2.2627450980392156,88.4078431372549,8.027450980392157,510
城市化区域,Urbanized Area,2.4529411764705884,84.61764705882354,8.694117647058823,510
释放惰性气体,Release of Inert Gases,2.473372781065089,81.29783037475345,8.603550295857989,507
地热能,Geothermal Power,2.6574257425742576,77.98019801980197,8.445544554455445,505
拂晓之城,Dawn City,2.3273809523809526,87.52579365079364,8.03968253968254,504
能源市场,Energy Market,2.2485089463220675,86.77733598409543,7.813121272365805,503
适应性技术,Adaptation Technology,2.437125748502994,86.22155688622755,8.600798403193613,501
泰坦穿梭机,Titan Shuttles,2.344689378757515,86.85971943887776,7.971943887775551,499
采矿殖民地,Mining Colony,2.3951612903225805,84.02822580645162,7.921370967741935,496
广告业,Advertising,2.459349593495935,83.8130081300813,8.126016260162602,492
