,corporation,avg_score,avg_position,avg_generations,chosen_time
66,Inventrix (breakthrough),77.74829931972789,2.6439909297052155,7.387755102040816,441
67,Cheung Shing MARS,75.88717948717948,2.646153846153846,8.312820512820513,195
68,Utopia Invest,71.2125,2.6625,7.0625,80
69,Nanotech Industries,70.33333333333333,2.6666666666666665,8.333333333333334,3
70,Morning Star Inc.,76.34426229508196,2.6885245901639343,9.262295081967213,61
71,Factorum (breakthrough),73.65346534653466,2.712871287128713,7.178217821782178,202
72,Robinson Industries (breakthrough),72.8,2.716666666666667,7.261111111111111,180
73,Robinson Industries,72.05263157894737,2.719298245614035,9.368421052631579,57
74,Viron,76.4390243902439,2.7317073170731705,9.536585365853659,41
75,Factorum,75.26530612244898,2.7346938775510203,9.306122448979592,49
76,Polyphemos (breakthrough),74.69158878504673,2.7383177570093458,7.196261682242991,107
77,Aridor,76.69327731092437,2.7436974789915967,7.642857142857143,238
78,Robin Haulings,79.125,2.75,7.125,8
79,Chimera,71.6923076923077,2.769230769230769,7.153846153846154,13
80,Curiosity II,71.79032258064517,2.782258064516129,6.862903225806452,124
81,Arklight,75.36666666666666,2.8,9.7,30
82,Recyclon (breakthrough),69.07608695652173,2.8152173913043477,6.956521739130435,92
83,Thorgate,72.27272727272727,2.8181818181818183,9.833333333333334,66
84,Polyphemos,70.16666666666667,2.8333333333333335,9.0,6
85,Thorgate (breakthrough),72.55778894472361,2.8442211055276383,7.190954773869347,199
86,Inventrix,72.07407407407408,2.851851851851852,9.407407407407407,81
87,Splice,78.4,2.8666666666666667,9.4,15
88,United Nations Mars Initiative,69.75409836065573,2.8688524590163933,9.704918032786885,61
89,Stormcraft Incorporated,74.41666666666667,2.875,9.166666666666666,24
90,Astrodrill,74.9,2.9,8.342857142857143,70
91,The Archaic Foundation Institute,83.5,2.9,7.8,10
92,Mons Insurance,74.33333333333333,2.9047619047619047,8.412698412698413,63
93,Helion,70.0204081632653,2.9183673469387754,9.693877551020408,98
94,Project Workshop,72.83516483516483,2.989010989010989,7.406593406593407,91
95,Colonial One,70.54545454545455,3.0,7.545454545454546,22
96,Junk Ventures,67.56363636363636,3.0545454545454547,7.472727272727273,110
97,The Grand Luna Capital Group,74.0,3.2,7.6,5
98,Hotsprings,59.770833333333336,3.2083333333333335,7.083333333333333,48
99,Incite,76.3125,3.375,8.1875,16
100,Steelaris,60.57142857142857,3.4285714285714284,6.571428571428571,7
101,Collegium Copernicus,66.83333333333333,3.5,6.5,6
102,Mars Direct,61.25,3.75,6.25,4
