,corporation,avg_score,avg_position,avg_generations,chosen_time
43,Saturn Systems,126.24404761904762,1.4970238095238095,11.735119047619047,336
44,,116.01411845730027,1.5,12.717630853994491,2904
45,Polaris,100.25,1.5,8.25,4
46,Incite,112.0,1.5,10.5,2
47,Mons Insurance,119.0125,1.5,10.6,80
48,EcoLine,113.04430379746836,1.5,13.075949367088608,158
49,Mars Direct,100.0,1.5,9.5,2
50,Celestic (breakthrough),141.3469387755102,1.5034013605442178,10.34013605442177,147
51,Robinson Industries,112.95145631067962,1.5048543689320388,12.359223300970873,103
52,Cheung Shing MARS,117.97927461139896,1.5077720207253886,11.585492227979275,193
53,Arklight (breakthrough),131.13114754098362,1.5081967213114753,10.19672131147541,61
54,Trade Navigator,177.62264150943398,1.5094339622641508,10.358490566037736,53
55,Arklight,117.74358974358974,1.5128205128205128,12.692307692307692,39
56,Teractor (breakthrough),127.8625,1.5208333333333333,10.020833333333334,240
57,Valley Trust (breakthrough),129.16065573770493,1.521311475409836,10.275409836065574,305
58,Lakefront Resorts,108.95652173913044,1.5217391304347827,9.695652173913043,23
59,Splice,126.94736842105263,1.5263157894736843,12.31578947368421,19
60,Mining Guild,110.08130081300813,1.5284552845528454,13.16260162601626,123
61,Tharsis Republic,110.6453488372093,1.5290697674418605,13.220930232558139,172
62,Arcadian Communities,119.23529411764706,1.5294117647058825,12.117647058823529,17
63,Recyclon (breakthrough),116.19642857142857,1.5357142857142858,9.821428571428571,56
64,Recyclon,117.59615384615384,1.5384615384615385,11.923076923076923,52
65,Septem Tribus,136.8846153846154,1.5384615384615385,10.846153846153847,26
66,Poseidon,124.78688524590164,1.540983606557377,10.60655737704918,183
67,Project Workshop,133.78688524590163,1.540983606557377,10.19672131147541,61
68,Pobolog (breakthrough),128.44897959183675,1.5510204081632653,10.208163265306123,245
69,Aridor,130.83522727272728,1.5568181818181819,10.988636363636363,176
70,Aphrodite,113.9375,1.5625,12.25,16
71,United Nations Mars Initiative,112.72972972972973,1.5675675675675675,13.304054054054054,148
72,Philares,112.5,1.5714285714285714,10.214285714285714,70
73,Curiosity II,126.1470588235294,1.5735294117647058,9.852941176470589,68
74,Inventrix,112.51327433628319,1.575221238938053,12.938053097345133,113
75,Teractor,116.74647887323944,1.5774647887323945,13.007042253521126,142
76,Thorgate,98.94736842105263,1.5789473684210527,12.91578947368421,95
77,Terralabs Research,125.58333333333333,1.5833333333333333,11.666666666666666,12
78,StormCraft Incorporated (breakthrough),128.62820512820514,1.5897435897435896,10.307692307692308,78
79,Viron,122.72131147540983,1.5901639344262295,12.770491803278688,61
80,Astrodrill,114.93055555555556,1.597222222222222,11.222222222222221,72
81,Soylent Seedling Systems,99.6,1.6,8.6,5
82,Labour Union,97.16666666666667,1.6,9.533333333333333,30
83,Polyphemos (breakthrough),112.87096774193549,1.6129032258064515,9.741935483870968,31
84,Thorgate (breakthrough),126.14173228346456,1.6141732283464567,10.220472440944881,127
85,United Nations Mission One,118.67567567567568,1.6216216216216215,10.64864864864865,37
86,Void,100.8125,1.625,10.0625,16
87,Morning Star Inc.,122.89285714285714,1.6428571428571428,12.196428571428571,56
88,Nanotech Industries,90.0,1.6666666666666667,9.333333333333334,3
89,The Archaic Foundation Institute,94.33333333333333,1.6666666666666667,9.666666666666666,3
90,Midas,101.16666666666667,1.6666666666666667,9.777777777777779,18
91,Collegium Copernicus,103.0,1.6666666666666667,9.666666666666666,3
92,Aristarchus,122.91489361702128,1.702127659574468,9.72340425531915,47
93,Ambient,94.75,1.75,8.5,4
94,Colonial One,121.0,1.8333333333333333,10.333333333333334,12
95,Polyphemos,100.86666666666666,1.9333333333333333,13.266666666666667,15
96,Luna Hyperloop Corporation,129.0,2.0,13.0,1
97,The Grand Luna Capital Group,112.0,2.0,11.0,1
98,Robin Haulings,91.0,2.0,8.75,4
99,Tempest Consultancy,154.0,2.0,12.0,1
